"Politica","Runtime","Switches","Average.delay","Wall.clock.time"
1,6.591,20,0.340,11
1,6.239,20,0.070,11
1,6.563,18,0.185,11
1,6.085,19,0.087,11
1,6.240,19,0.061,11
1,6.312,19,0.133,11
1,6.417,19,0.533,11
1,7.397,19,0.522,11
1,6.435,19,0.525,11
1,6.250,19,0.371,11
1,6.550,19,0.314,11
1,6.365,18,0.216,11
1,6.397,19,0.488,11
1,6.251,18,0.639,11
1,5.852,19,0.046,11
2,6.260,19,0.061,11
2,8.246,21,0.387,10
2,6.891,21,0.712,10
2,6.313,19,0.350,10
2,6.473,19,1.505,11
2,6.376,18,0.229,11
2,6.007,18,0.669,10
2,6.214,19,0.530,11
2,4.533,18,0.116,11
2,6.202,20,0.304,11
2,6.737,18,0.222,11
2,6.857,20,0.075,11
2,6.202,20,0.068,11
2,6.792,21,0.620,11
2,6.439,19,0.942,11
